Objects
100
,,Global Angle 511_24:511_24,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
270,0,0.0991686,0.0364055,0.122544,-515.644,515.587,165.027
271,0,0.0983535,0.0341575,0.120536,-514.477,514.045,167.184
272,0,0.132905,0.0419435,0.110258,-513.551,512.915,169.327
273,0,0.102065,0.0385468,0.115727,-512.142,510.666,171.431
274,0,0.106433,0.0440262,0.103543,-511.173,508.986,173.611
275,0,0.0672726,0.0391388,0.112012,-509.685,506.452,175.665
276,0,0.0219503,0.0210858,0.114819,-508.162,503.862,177.741
277,0,0.0126546,0.0311262,0.111746,-507.159,501.688,180.009
278,0,0.00103036,0.0327194,0.108609,-505.942,499.339,182.056
279,0,0.000661617,0.0343388,0.103421,-504.746,497.181,184.099
280,0,-0.0084718,0.0305084,0.104365,-503.473,494.782,186.035
281,0,-0.012415,0.0280853,0.101994,-502.229,492.368,187.978
282,0,-0.012729,0.0284754,0.100789,-501.039,490.054,189.872
283,0,-0.0106469,0.0232625,0.0978828,-499.736,487.741,191.839
284,0,-0.0122095,0.0266958,0.0926472,-498.551,485.346,193.649
285,0,-0.0106277,0.0260271,0.0914593,-497.389,483.018,195.558
286,0,0.0192832,0.0291597,0.0796073,-496.43,481.063,197.376
287,0,-0.0118102,0.0231745,0.0852282,-495.022,478.109,199.2
288,0,-0.029273,0.0122317,0.0847064,-493.704,475.579,201.164
289,0,-0.0470016,0.00284113,0.0845679,-492.348,472.868,202.729
290,0,-0.0365796,0.0125795,0.0816159,-491.39,470.628,204.801
291,0,-0.0391961,0.0163315,0.0759545,-490.327,468.197,206.487
292,0,-0.038029,0.00952665,0.0752504,-489.162,465.828,208.291
293,0,-0.0421432,0.0141513,0.0720748,-488.106,463.292,209.878
294,0,-0.0411638,0.0129275,0.0727589,-487.051,460.931,211.612
295,0,-0.0459351,0.0138634,0.068402,-485.973,458.404,213.336
296,0,-0.041447,0.015499,0.0653123,-484.947,456.095,214.944
297,0,-0.047299,4.34538e-05,0.0660668,-483.723,453.621,216.473
298,0,-0.0481079,0.0132454,0.0626237,-482.928,451.194,218.198
299,0,-0.0472228,0.0121314,0.0604515,-481.965,448.883,219.757
300,0,-0.0441335,0.00757327,0.0557116,-480.809,446.544,221.339
301,0,-0.0407936,0.0144332,0.0546271,-480.094,444.218,222.938
302,0,-0.0435843,0.00664642,0.0535687,-479.077,441.809,224.529
303,0,-0.0452899,0.0104715,0.0505767,-478.219,439.422,225.915
304,0,0.00171178,0.017882,0.0409877,-477.552,437.769,227.361
305,0,-0.0265057,0.0147582,0.0443712,-476.524,434.937,228.751
306,0,-0.00028223,0.0186373,0.0368922,-475.889,433.065,230.119
307,0,-0.0433483,0.0103575,0.0434775,-474.784,430.077,231.64
308,0,-0.0441075,0.0132733,0.0415276,-474.013,427.724,232.981
309,0,-0.0333045,0.0103002,0.0394959,-473.235,425.595,234.383
310,0,-0.0411725,0.0140667,0.036958,-472.485,423.12,235.567
311,0,-0.0444418,-0.00698639,0.0319027,-471.279,420.689,237.168
312,0,-0.0447447,0.0114799,0.0359112,-470.958,418.437,238.194
313,0,-0.000363149,0.0223378,0.0214762,-470.552,416.812,239.273
314,0,-0.0231198,0.0127432,0.0307257,-469.586,414.027,240.566
315,0,-0.0451178,0.0137272,0.0310821,-468.947,411.457,241.749
316,0,-0.0390465,0.0149485,0.0310391,-468.27,409.251,242.981
317,0,0.00822669,0.0236541,0.0148015,-467.869,407.64,244.038
318,0,0.00223616,0.0234467,0.0151184,-467.296,405.192,245.175
319,0,0.0058578,0.0192468,0.0162329,-466.627,402.963,246.321
320,0,-0.0144373,0.0223736,0.0206772,-465.893,400.191,247.455
321,0,-0.0347934,0.0169042,0.0225506,-465.213,397.682,248.66
322,0,0.0130215,0.020885,0.00890645,-464.855,396.189,249.567
323,0,-0.017629,0.0208441,0.018481,-464.216,393.165,250.805
324,0,0.00757747,0.0244951,0.00902259,-463.82,391.266,251.819
325,0,0.00105872,0.0160693,0.00621725,-463.156,388.936,252.964
326,0,-0.0200002,0.0105666,0.0158291,-462.384,386.083,253.819
327,0,-0.0275794,0.0192569,0.0157758,-462.057,383.712,255.221
328,0,-0.0334494,0.016448,0.0150646,-461.483,381.239,256.311
329,0,0.00464146,0.0232107,0.00152219,-461.274,379.484,257
330,0,-0.00714021,0.0234939,0.0129595,-460.69,376.734,258.243
331,0,0.0221799,0.0263575,-0.00106391,-460.379,374.859,259.27
332,0,-0.0128251,0.0240872,0.00983955,-459.796,371.796,260.263
333,0,-0.0249401,0.0170414,0.0136587,-459.291,369.319,261.412
334,0,0.00220683,0.0049624,0.000258959,-458.74,367.327,261.913
335,0,-0.02973,0.0171795,0.0111367,-458.427,364.34,263.354
336,0,0.0243432,0.0203018,-0.00340873,-458.216,362.731,264.278
337,0,0.0143922,0.0257502,-0.00469063,-457.968,360.129,265.118
338,0,0.0241581,0.0254503,-0.00371689,-457.645,357.784,266.156
339,0,0.00674504,0.0215215,-0.00490475,-457.165,355.01,266.906
340,0,0.0181289,0.0281826,-0.00399235,-456.903,352.621,267.888
341,0,0.0149878,0.0124526,-0.0058345,-456.293,350.059,268.524
342,0,0.0163466,0.027617,-0.00610304,-456.297,347.503,269.579
343,0,0.00533531,-0.00796534,-0.0107323,-455.188,344.759,270.316
344,0,0.00870439,0.027938,-0.00760142,-455.662,342.309,271.183
345,0,0.0184198,0.0152746,-0.00676611,-455.114,339.896,271.629
346,0,0.0233053,0.0189041,-0.0129836,-455.002,337.406,272.496
347,0,-0.00937488,0.025706,0.0022194,-454.681,334.03,273.538
348,0,0.00914104,0.00681364,-0.0056188,-454.209,331.868,273.977
349,0,-0.0215511,0.0249631,0.000664795,-454.153,328.658,275.099
350,0,0.00918286,0.00956588,-0.00801373,-453.812,326.546,275.287
351,0,0.0183959,0.0261771,-0.00988456,-453.864,323.925,276.204
352,0,0.0114347,0.0161374,-0.00843923,-453.449,321.052,276.713
353,0,0.0229999,0.0235318,-0.0117297,-453.337,318.592,277.535
354,0,0.0256612,0.0300116,-0.0123458,-453.309,315.733,278.174
355,0,0.0315429,0.0303364,-0.0135862,-453.171,313.096,278.756
356,0,0.0103756,0.00602235,-0.0102741,-452.522,309.98,279.025
357,0,0.0255577,0.0227795,-0.0147985,-452.641,307.394,279.767
358,0,0.0286436,0.0154922,-0.0140011,-452.414,304.636,280.379
359,0,0.0251469,0.0208882,-0.0147485,-452.392,301.624,280.926
360,0,0.0237448,0.0168076,-0.0118443,-452.201,298.773,281.329
361,0,0.0227294,0.0173441,-0.0143875,-452.128,295.85,281.917
362,0,0.0283805,0.0214482,-0.0146277,-452.062,292.97,282.422
363,0,0.0200471,0.00221048,-0.0129471,-451.648,289.974,282.621
364,0,0.0258177,0.0220053,-0.0140609,-451.94,286.985,283.294
365,0,0.0105617,0.00226282,-0.0113415,-451.551,283.887,283.397
366,0,0.0197088,0.0198043,-0.0157164,-451.797,281.02,284.088
367,0,0.022755,0.0215509,-0.0162348,-451.807,278.024,284.434
368,0,0.0209706,-0.00387003,-0.0169514,-451.445,275.035,284.514
369,0,0.0235982,0.0208086,-0.0152687,-451.857,271.873,285.196
370,0,0.0103132,-0.0159618,-0.0200251,-451.105,268.612,285.519
371,0,0.0288425,0.022288,-0.0163965,-451.931,265.828,285.949
372,0,0.0204591,0.0229262,-0.0170344,-452.018,262.6,286.242
373,0,0.00591608,0.00208425,-0.012039,-451.77,259.369,286.322
374,0,0.0145721,0.0216881,-0.0150882,-452.174,256.272,286.824
375,0,0.00664107,0.0116173,-0.0131303,-452.073,253.045,286.925
376,0,0.0177517,0.0197685,-0.0172771,-452.363,250.201,287.426
